KNN,Decision tree,SVM,Bagging,Random forest,AdaBoost,Naive bayes,Logistic Regression,Gradient Boosting Tree,goodforairplanes,movie_name
1,1,1,1,1,1,1,1,1,1,Seventh Son
1,0,1,0,0,0,1,1,0,0,2_States
1,1,1,0,1,0,0,0,0,0,Welcome to Me
1,1,1,1,1,1,1,1,0,0,The Judge
1,1,1,0,1,0,0,0,0,0,Transformers  Age of Extinction
1,0,1,1,1,0,1,1,1,1,The Normal Heart
1,1,1,1,0,1,1,1,1,1,The Phantom Tollbooth
1,0,1,0,0,1,0,0,0,1,Andaz Apna Apna
0,0,1,0,0,0,0,0,0,1,Hotel Transylvania
1,1,1,1,1,1,0,1,1,1,The Matrix
1,0,1,1,0,1,1,1,1,1,Into the Wild
0,1,0,1,1,1,0,1,0,0,Jerry Maguire
0,0,0,0,0,1,0,0,0,0,Lord of the Flies
0,0,0,0,1,0,1,0,0,0,The Great Gatsby
1,1,1,1,1,1,0,1,1,0,Inherent Vice
1,0,1,0,0,0,1,1,0,1,Donnie Darko
0,1,0,0,0,0,0,0,1,1,Anna Karenina
0,1,0,0,0,1,0,0,1,1,American Gangster
0,1,0,1,1,1,0,1,1,1,Full Metal Jacket
1,0,0,0,1,0,1,0,0,1,Words and Pictures
1,0,1,0,1,1,0,0,0,1,John Wick
0,0,0,1,1,0,0,1,1,0,The Fault in Our Stars
1,0,1,1,1,1,1,1,1,0,The Cobbler
1,0,1,0,0,0,0,0,0,1,The Hobbit  The Desolation of Smaug
0,1,1,1,0,1,0,0,1,0,Jack Reacher
0,1,0,1,1,1,0,0,1,1,The Book of Life
1,1,1,1,1,1,1,1,1,1,Let's Be Cops
1,1,1,1,0,0,0,0,1,1,A Single Man
1,1,1,0,0,1,1,1,1,1,Casino Royale
0,1,1,1,1,1,1,1,1,1,Ode to My Father
1,0,1,1,0,0,0,1,0,1,Dirty Dancing
0,0,0,0,0,0,0,0,0,0,V for Vendetta
0,0,0,0,0,0,0,0,0,0,Brother Bear
0,0,0,1,1,1,0,1,1,0,Babar  The Movie
0,0,0,0,0,0,0,1,0,0,The Parent Trap
0,1,0,1,0,1,0,1,1,1,Bros Before Hos
1,1,0,1,0,1,0,0,0,1,Moulin Rouge!
0,0,0,0,0,1,0,0,0,1,Total Recall
0,0,0,1,0,1,0,0,1,1,American Pie
1,0,0,0,0,0,0,0,0,1,Shakespeare in Love
0,1,0,1,0,1,0,1,1,1,Bobby Jasoos
1,1,0,1,1,0,0,0,1,0,Boogie Nights
1,1,1,0,1,1,1,1,1,0,Excuse My French
1,0,1,0,0,0,1,0,0,0,Chef
1,0,1,0,0,0,1,0,0,0,Le Samourai
0,1,0,0,1,1,0,1,1,1,The Lizzie McGuire Movie
0,0,0,0,0,0,0,1,0,1,Khumba
1,1,1,1,1,1,1,1,1,1,A Fish Called Wanda
0,0,0,0,0,0,0,1,0,1,Homies
0,0,0,1,0,0,0,1,0,1,Mulan
0,0,1,1,0,1,1,1,1,1,The Maze Runner
1,0,1,0,0,0,0,0,0,0,Nightcrawler
1,1,0,1,0,1,0,0,1,0,Elsa   Fred
1,0,1,0,0,1,1,0,0,0,RED
1,1,1,1,1,1,1,1,1,0,Khoobsurat
1,0,1,1,1,0,1,1,1,1,Interstellar
0,1,1,1,1,1,1,1,1,1,Night at the Museum  Secret of the Tomb
0,0,0,0,0,0,0,0,0,1,The Hunger Games
0,1,1,1,1,1,0,1,1,1,The Babadook
0,0,1,0,1,0,0,0,0,1,Big Hero 6
1,0,1,0,0,1,0,1,0,1,The Imitation Game
1,1,1,0,1,0,1,1,0,0,Looney Tunes  Back in Action
1,0,1,0,1,1,0,1,1,0,The Hunger Games  Catching Fire
1,1,1,0,0,0,0,1,0,0,Hook
0,0,0,0,1,0,0,1,1,0,Exodus  Gods and Kings
0,1,1,0,0,1,1,1,1,1,Invincible
1,1,1,1,0,0,0,1,1,1,Some Like It Hot
0,1,0,0,1,0,0,0,0,1,The Reader
1,1,1,0,1,1,1,1,1,1,The Birdcage
1,0,1,0,0,1,1,0,0,1,The Theory of Everything
1,1,1,0,0,0,1,1,1,1,Black Swan
0,0,0,1,0,0,0,0,0,0,Maine Pyar Kiya
0,1,1,1,1,1,0,1,1,0,Still Alice
0,0,1,0,1,0,0,0,1,0,My Week with Marilyn
1,0,0,1,1,0,0,1,0,0,Bhoothnath Returns
1,0,1,0,1,1,1,1,1,1,Grand Piano
1,1,1,0,0,1,1,1,1,1,Into the Woods
1,1,1,0,1,0,0,1,1,1,The Blair Witch Project
1,1,1,0,0,1,0,0,0,1,Monsters University
1,0,1,0,0,0,1,1,0,1,Mr. Go
1,1,1,0,0,1,1,1,1,1,This Is Where I Leave You
1,0,1,0,1,0,0,0,0,0,The Bourne Legacy
0,1,0,0,0,0,0,0,0,0,Wild Tales
1,0,1,0,0,1,0,0,1,0,The Dark Knight
0,0,1,1,1,1,0,1,1,0,Predestination
1,1,0,0,0,0,0,1,0,1,Robin Hood
1,1,1,1,1,1,1,1,1,1,A Million Ways to Die in the West
0,1,0,1,1,1,1,1,0,0,Drive
1,0,1,0,0,0,1,1,1,0,Bronson
1,1,1,1,1,1,0,1,1,0,The Last Days on Mars
0,0,1,0,0,0,1,0,0,0,The Reluctant Dragon
0,1,1,1,1,1,0,1,1,0,Live Nude Girls
0,1,1,0,0,1,0,0,1,0,Pulp Fiction
0,1,0,1,0,1,0,0,1,0,Perez
